;acao;ano;comedia;diretor;drama;fantasia;romance;scifi;suspense;terror;titulo
0;0;2019;0;Vince Gilligan;1;0;0;0;1;0;El Caminho: A Breaking Bad Movie
1;0;2010;0;M. Night Shyamalan;0;1;0;0;1;0;Corpo Fechado
2;0;2010;0;David Fincher;1;0;0;0;0;0;A Rede Social
3;0;2014;0;David Dobkin;1;0;0;0;0;0;O Juiz
4;0;2014;0;Spike Jonze;1;0;1;1;1;0;Ela
5;1;2010;0;Harald Zwart;1;0;0;0;0;0;Karate Kid
6;1;2015;0;Joss Whedon;0;0;0;1;0;0;Vingadores 2 - A Era de Ultron
7;1;2017;0;James Mangold;1;0;0;1;0;0;Logan
8;0;1987;0;Stanley Kubrick;1;0;0;0;0;0;Nascido para Matar
9;0;2017;0;Jordan Peele;0;0;0;0;1;0;Corra!
10;1;1982;0;Ted Kotcheff;1;0;0;0;0;0;Rambo
11;0;2012;0;David O. Russel;1;0;0;0;1;0;O Lado Bom da Vida
12;0;2005;0;Mike Newell;0;1;0;0;0;0;Harry Potter e o Calice de Fogo
13;1;2002;0;Sam Raimin;0;1;0;0;0;0;Homem Aranha
14;0;1993;0;Steven Spielberg;0;0;0;1;0;0;Jurassic Park
